video,frame,xtl,ytl,xbr,ybr,num_boxes
IMG_0036,1,703,1588,722,1609,65
IMG_0036,1,645,1547,681,1571,65
IMG_0036,1,622,1547,629,1569,65
IMG_0036,1,663,1543,681,1563,65
IMG_0036,1,674,1542,684,1556,65
IMG_0036,1,637,1541,650,1567,65
IMG_0036,1,682,1534,697,1558,65
IMG_0036,1,692,1525,703,1542,65
IMG_0036,1,735,1519,761,1553,65
IMG_0036,1,574,1517,593,1536,65
IMG_0036,1,697,1514,717,1573,65
IMG_0036,1,559,1509,568,1544,65
IMG_0036,1,657,1506,663,1547,65
IMG_0036,1,566,1505,618,1523,65
IMG_0036,1,798,1502,819,1535,65
IMG_0036,1,620,1500,633,1513,65
IMG_0036,1,518,1490,668,1888,65
IMG_0036,1,736,1485,767,1503,65
IMG_0036,1,775,1468,810,1504,65
IMG_0036,1,612,1464,638,1482,65
IMG_0036,1,402,1419,474,1484,65
IMG_0036,1,710,1413,781,1495,65
IMG_0036,1,774,1386,822,1400,65
IMG_0036,1,340,1366,348,1380,65
IMG_0036,1,328,1356,339,1377,65
IMG_0036,1,288,1352,298,1454,65
IMG_0036,1,295,1340,310,1350,65
IMG_0036,1,235,1340,250,1354,65
IMG_0036,1,306,1317,325,1335,65
IMG_0036,1,224,1317,236,1329,65
IMG_0036,1,261,1297,292,1351,65
IMG_0036,1,287,1272,325,1302,65
IMG_0036,1,271,1261,325,1306,65
IMG_0036,1,275,1248,321,1291,65
IMG_0036,1,785,1243,934,1839,65
IMG_0036,1,335,1242,387,1368,65
IMG_0036,1,394,1239,515,1337,65
IMG_0036,1,753,1226,782,1233,65
IMG_0036,1,753,1221,788,1229,65
IMG_0036,1,633,1221,646,1311,65
IMG_0036,1,618,1160,644,1196,65
IMG_0036,1,238,1158,358,1296,65
IMG_0036,1,483,1010,524,1055,65
IMG_0036,1,479,976,516,1025,65
IMG_0036,1,526,966,568,1009,65
IMG_0036,1,435,958,543,1092,65
IMG_0036,1,539,931,557,957,65
IMG_0036,1,550,914,560,927,65
IMG_0036,1,577,907,590,940,65
IMG_0036,1,561,903,580,950,65
IMG_0036,1,561,892,578,911,65
IMG_0036,1,614,888,622,914,65
IMG_0036,1,579,879,605,939,65
IMG_0036,1,622,847,659,895,65
IMG_0036,1,607,847,619,858,65
IMG_0036,1,606,845,635,911,65
IMG_0036,1,643,812,662,827,65
IMG_0036,1,593,808,627,841,65
IMG_0036,1,625,778,696,843,65
IMG_0036,1,695,777,715,806,65
IMG_0036,1,637,776,664,785,65
IMG_0036,1,681,767,697,777,65
IMG_0036,1,648,762,679,774,65
IMG_0036,1,674,679,767,772,65
IMG_0036,1,396,673,724,1126,65
IMG_0036,2,614,2008,657,2023,73
IMG_0036,2,534,1791,657,1887,73
IMG_0036,2,676,1617,693,1631,73
IMG_0036,2,660,1573,669,1589,73
IMG_0036,2,621,1572,628,1597,73
IMG_0036,2,619,1548,626,1570,73
IMG_0036,2,695,1545,703,1557,73
IMG_0036,2,627,1545,672,1575,73
IMG_0036,2,672,1542,681,1557,73
IMG_0036,2,641,1541,647,1568,73
IMG_0036,2,665,1540,678,1564,73
IMG_0036,2,678,1527,693,1561,73
IMG_0036,2,628,1524,634,1545,73
IMG_0036,2,725,1516,759,1555,73
IMG_0036,2,573,1514,592,1530,73
IMG_0036,2,690,1508,715,1576,73
IMG_0036,2,756,1507,775,1529,73
IMG_0036,2,654,1504,660,1548,73
IMG_0036,2,574,1504,610,1523,73
IMG_0036,2,795,1502,826,1551,73
IMG_0036,2,614,1499,628,1514,73
IMG_0036,2,655,1494,668,1540,73
IMG_0036,2,519,1490,566,1541,73
IMG_0036,2,515,1490,557,1790,73
IMG_0036,2,732,1485,768,1504,73
IMG_0036,2,697,1480,708,1509,73
IMG_0036,2,772,1475,801,1503,73
IMG_0036,2,448,1472,466,1484,73
IMG_0036,2,398,1418,479,1480,73
IMG_0036,2,658,1387,776,1488,73
IMG_0036,2,285,1351,296,1452,73
IMG_0036,2,282,1338,303,1347,73
IMG_0036,2,212,1330,241,1348,73
IMG_0036,2,301,1315,320,1332,73
IMG_0036,2,220,1311,232,1325,73
IMG_0036,2,258,1301,265,1326,73
IMG_0036,2,248,1294,259,1307,73
IMG_0036,2,242,1284,252,1296,73
IMG_0036,2,264,1262,322,1302,73
IMG_0036,2,235,1250,257,1290,73
IMG_0036,2,273,1249,317,1288,73
IMG_0036,2,784,1245,933,1833,73
IMG_0036,2,336,1243,346,1283,73
IMG_0036,2,351,1239,364,1252,73
IMG_0036,2,751,1229,781,1235,73
IMG_0036,2,391,1229,544,1336,73
IMG_0036,2,753,1223,787,1231,73
IMG_0036,2,321,1222,394,1375,73
IMG_0036,2,631,1221,645,1313,73
IMG_0036,2,617,1162,643,1197,73
IMG_0036,2,247,1156,361,1248,73
IMG_0036,2,790,1148,802,1233,73
IMG_0036,2,456,974,525,1061,73
IMG_0036,2,496,965,579,1047,73
IMG_0036,2,436,933,565,1094,73
IMG_0036,2,584,917,595,942,73
IMG_0036,2,551,917,568,937,73
IMG_0036,2,567,904,592,955,73
IMG_0036,2,568,896,583,915,73
IMG_0036,2,622,891,630,912,73
IMG_0036,2,587,883,610,947,73
IMG_0036,2,630,856,648,902,73
IMG_0036,2,614,853,627,864,73
IMG_0036,2,643,851,668,893,73
IMG_0036,2,614,849,646,914,73
IMG_0036,2,576,849,603,881,73
IMG_0036,2,653,818,668,831,73
IMG_0036,2,635,816,646,834,73
IMG_0036,2,602,813,636,844,73
IMG_0036,2,648,790,680,812,73
IMG_0036,2,660,767,694,780,73
IMG_0036,2,641,696,779,852,73
IMG_0036,2,393,678,750,1129,73
IMG_0036,3,532,1655,699,1891,77
IMG_0036,3,673,1619,689,1632,77
IMG_0036,3,684,1614,697,1625,77
IMG_0036,3,629,1592,670,1598,77
IMG_0036,3,656,1575,666,1591,77
IMG_0036,3,618,1574,630,1598,77
IMG_0036,3,601,1551,615,1564,77
IMG_0036,3,644,1550,663,1569,77
IMG_0036,3,669,1544,678,1558,77
IMG_0036,3,616,1543,668,1574,77
IMG_0036,3,662,1541,675,1566,77
IMG_0036,3,675,1528,691,1562,77
IMG_0036,3,724,1526,755,1558,77
IMG_0036,3,624,1526,631,1546,77
IMG_0036,3,617,1524,624,1545,77
IMG_0036,3,570,1513,584,1528,77
IMG_0036,3,748,1511,767,1543,77
IMG_0036,3,657,1510,666,1542,77
IMG_0036,3,687,1509,713,1577,77
IMG_0036,3,752,1508,773,1533,77
IMG_0036,3,643,1506,657,1549,77
IMG_0036,3,783,1503,823,1555,77
IMG_0036,3,567,1503,606,1514,77
IMG_0036,3,609,1498,623,1515,77
IMG_0036,3,784,1492,817,1497,77
IMG_0036,3,514,1492,547,1654,77
IMG_0036,3,517,1491,564,1540,77
IMG_0036,3,728,1486,767,1507,77
IMG_0036,3,693,1480,709,1513,77
IMG_0036,3,393,1417,475,1483,77
IMG_0036,3,745,1401,794,1408,77
IMG_0036,3,739,1396,794,1402,77
